"language","item.id","k_Mean","lambda_Mean","start_Mean","k_HDIlow","lambda_HDIlow","start_HDIlow","k_HDIhigh","lambda_HDIhigh","start_HDIhigh","category","item"
"Cantonese","item_127",7.6765669728,0.41843790476,5.4518123267748,0.642699,0.0767518,0.000859694,15.1854,0.764867,13.1533,"action_words","V4COUGH"
"Cantonese","item_128",2.62945424268,0.2410643989,4.5792354901598,0.0942196,0.0409966,0.00128859,6.01144,0.466793,11.3403,"action_words","V4HIT"
"Cantonese","item_129",7.000167659,0.36932706302,4.9792193357996,0.66336,0.0792791,0.00510405,13.659,0.680697,12.3659,"action_words","V4CLAP"
"Cantonese","item_13",6.8396221282,0.28013675519,5.0034839126398,0.940226,0.0251932,0.00340098,13.9315,0.570608,12.3264,"sounds","S1CHICKC"
"Cantonese","item_130",15.0287962628,0.82697809188,5.163995751187,1.46819,0.239952,0.000697575,28.2308,1.43136,12.3844,"action_words","V4DRAG"
"Cantonese","item_131",13.1158738536,0.62135237952,5.24070205887552,1.18477,0.0934085,6.82266e-05,25.9249,1.16378,12.9543,"action_words","V4SHAKE"
"Cantonese","item_132",8.3996824938,0.57030085422,5.996917316314,0.435983,0.10517,0.00129642,17.5177,0.996335,14.0827,"action_words","V4GIVEC"
"Cantonese","item_133",16.652486319,0.89389136852,5.693843817462,0.989305,0.182656,0.00239961,32.1424,1.59527,13.7563,"action_words","V4TAKE"
"Cantonese","item_134",17.3657171048,0.79784815208,4.940329722074,1.96521,0.176783,0.00440048,32.9287,1.51462,12.5019,"action_words","V4CARRY"
"Cantonese","item_135",11.5752028528,0.58379634498,5.487287518372,0.843841,0.0913617,0.00100981,22.5397,1.06292,13.1927,"action_words","V4HOLD2"
"Cantonese","item_136",16.0621158768,0.88470536552,6.20309522009,0.586418,0.109203,0.00133322,32.1982,1.59351,14.879,"action_words","V4PUTC"
"Cantonese","item_137",14.574507615,0.63430187608,4.437619658128,2.27323,0.110973,0.00037098,27.7124,1.1658,11.0128,"action_words","V4PUT"
"Cantonese","item_138",8.2513062982,0.50775398012,6.0233891265314,0.607238,0.084073,0.00169808,16.9826,0.908388,13.9884,"action_words","V4KISSC"
"Cantonese","item_139",8.1574584276,0.59326995586,5.59825979073,0.327805,0.13411,0.0067622,16.7074,1.04056,13.5929,"action_words","V4HOLD"
"Cantonese","item_14",3.78840823844,0.41383948734,4.3959434248494,0.0793262,0.101034,0.000335422,8.98347,0.816138,11.0692,"people","P2MOMMY"
"Cantonese","item_140",14.3556247272,0.653248417,4.5616699499508,1.756,0.14265,0.00179214,27.1061,1.20415,11.5363,"action_words","V4HUGC"
"Cantonese","item_141",11.05827315,0.56778561012,4.828599951098,1.37868,0.15403,0.00765522,20.8151,1.01688,11.8352,"action_words","V4CARRY2"
"Cantonese","item_142",17.489701541,0.79015961964,5.0361237562694,2.03521,0.150194,0.000480687,33.8267,1.47863,12.2221,"action_words","V4FU"
"Cantonese","item_143",12.804353118,0.78926615862,5.0075893656142,1.08211,0.281959,0.000370579,23.9459,1.35439,11.8691,"action_words","V4SIT"
"Cantonese","item_144",16.0445699824,0.88378607618,5.523357341912,0.863273,0.206884,0.00410357,30.6539,1.58705,13.6286,"action_words","V4WALKC"
"Cantonese","item_145",19.7613748,1.0683929654,4.3381957535652,2.91231,0.400719,0.000565656,34.4282,1.751,10.9752,"action_words","V4LEAVE"
"Cantonese","item_146",17.513765346,0.75214478238,4.6381523915016,1.95786,0.165698,0.0185543,33.3304,1.44356,11.4293,"action_words","V4RUN"
"Cantonese","item_147",15.479488653,0.73282352862,5.94012956396,1.07208,0.0823007,0.00307007,31.7254,1.40907,14.2701,"action_words","V4CHASE"
"Cantonese","item_148",18.43611677,0.92493668684,5.167821502826,1.46817,0.180138,0.00350712,34.7533,1.61998,12.9157,"action_words","V4STANDC"
"Cantonese","item_149",25.62892023,1.25241253892,5.3463950268266,2.58891,0.232771,0.00671693,49.5535,2.23905,12.9685,"action_words","V4STOP"
"Cantonese","item_15",5.46988045256,0.60638241604,4.211022274566,0.0879323,0.131975,0.00203251,12.9514,1.14218,10.7052,"people","P2DADDY"
"Cantonese","item_150",16.6263965608,0.90715388602,4.6093145367186,2.35328,0.310259,0.000662433,29.8875,1.51275,11.4779,"action_words","V4GO"
"Cantonese","item_151",11.8750196068,0.575606178044,5.894433681878,0.621297,0.0462807,0.0015424,24.0569,1.09759,14.4329,"action_words","V4ASCND"
"Cantonese","item_152",14.123413392,0.68486597446,5.2153876988958,1.37485,0.126996,0.000401619,27.254,1.24894,12.845,"action_words","V4DOWNC"
"Cantonese","item_153",15.7566034404,0.80430726184,6.14123267399704,0.962735,0.0882306,0.00734603,31.8657,1.46665,14.6997,"action_words","V4EXIT"
"Cantonese","item_154",16.7483936478,0.7902215682,5.8833203142244,1.16918,0.0840483,0.000374772,33.9645,1.51963,14.3418,"action_words","V4ENTERC"
"Cantonese","item_155",15.796371357,0.93217121402,5.707137345506,1.54682,0.243344,0.00377817,30.5891,1.58417,13.3903,"action_words","V4PLAY"
"Cantonese","item_156",37.611531658,1.6444227092,4.5815672070346,2.17861,0.306553,0.000428407,74.4196,3.35209,11.5216,"action_words","V4LEARN"
"Cantonese","item_157",12.9364183632,0.7327906558,4.415415363784,2.01211,0.290706,0.00120168,23.5508,1.2494,10.8526,"action_words","V4SLEEPC"
"Cantonese","item_158",20.8917378334,1.08664012576,5.2206455124848,1.79689,0.251075,0.000672374,38.6666,1.8721,12.971,"action_words","V4GETUPC"
"Cantonese","item_159",31.727505598,1.48351845118,5.16424099469,3.41737,0.27196,0.0055141,63.2287,2.77539,12.4478,"action_words","V4AWAKE"
"Cantonese","item_16",6.3864425712,0.45948832104,5.150358896054,0.382546,0.123289,0.00256716,12.9559,0.81119,12.6649,"people","P2POHPOH"
"Cantonese","item_160",10.4212307784,0.608238853,5.36630948571819,0.724722,0.137377,2.85894e-06,20.0564,1.06383,13.0549,"action_words","V4FALL"
"Cantonese","item_161",9.4549512964,0.526747957,5.4166796007068,0.942459,0.111833,0.000281198,18.4706,0.927024,12.973,"action_words","V4KICK"
"Cantonese","item_162",11.5785797212,0.58643892108,5.4178981859324,1.15468,0.106723,0.000418275,22.8181,1.05542,12.8186,"action_words","V4JUMP"
"Cantonese","item_163",14.2177050288,0.6416861233,5.2782735344444,1.38611,0.0935396,0.000960442,28.5333,1.22545,13.0347,"action_words","V4DANCE"
"Cantonese","item_164",13.551599494,0.5543680044,4.317119396668,2.14038,0.0866575,0.00593945,26.4709,1.07789,10.8486,"action_words","V4BOUNCC"
"Cantonese","item_165",7.7336593918,0.38278253584,5.0883320953302,0.705706,0.0553535,0.000125164,15.0762,0.703103,12.5613,"action_words","V4FLY"
"Cantonese","item_166",17.3929639232,0.8737158792,5.412177665768,1.27861,0.149278,0.00316571,33.3107,1.54191,13.3725,"action_words","V4SWIMC"
"Cantonese","item_167",11.6637810714,0.50533071524,4.87045983701,1.5148,0.0735476,0.00901596,22.7645,0.957504,12.0867,"action_words","V4SWINGC"
"Cantonese","item_168",9.451879709,0.44064193662,4.730187600632,1.18346,0.0915482,0.00066365,18.1087,0.822765,11.6976,"action_words","V4SPIN"
"Cantonese","item_169",31.080123742,1.4303520578,4.3602244341656,5.14692,0.349166,0.000909009,59.2325,2.55066,11.0988,"action_words","V4MOVE2"
"Cantonese","item_17",5.8443155116,0.36432550866,4.612419862404,0.496687,0.0898363,0.000603627,11.4529,0.654696,11.5978,"people","P2MAAMAA"
"Cantonese","item_170",20.04509171,0.96120070972,4.946113985858,2.53682,0.24686,0.00307948,38.1631,1.74837,12.0613,"action_words","V4HIDEC"
"Cantonese","item_171",36.971481334,1.766303681,4.04360100333,6.68463,0.643005,0.00114184,65.7052,3.03342,10.3263,"action_words","V4FIND"
"Cantonese","item_172",10.789760574,0.47535252626,4.9269888790558,1.58385,0.0894425,0.000495149,21.3145,0.916957,12.0161,"action_words","V4CATCHC"
"Cantonese","item_173",15.6568842948,0.93232291948,5.298007998946,1.02075,0.249949,0.00118483,29.3136,1.58006,12.9771,"action_words","V4OPEN"
"Cantonese","item_174",22.215667088,1.17003855112,5.601452126932,1.76395,0.264449,0.00254576,42.4985,2.03984,13.5932,"action_words","V4TURNOF"
"Cantonese","item_175",17.5113155588,0.9101305353,4.39258203836,2.95096,0.278124,0.0015834,31.7841,1.51232,11.0703,"action_words","V4CLOSE"
"Cantonese","item_176",9.8298638732,0.40940957662,5.19196317247,1.3439,0.032229,0.00356249,19.9329,0.81011,12.652,"action_words","V4KNOCK"
"Cantonese","item_177",13.047158264,0.78856479474,4.802960363304,1.5733,0.251151,0.00158382,24.0714,1.30625,11.6251,"action_words","V4WANTC"
"Cantonese","item_178",21.4437457314,1.0031216948,4.6720654834884,3.88653,0.255982,0.000299881,41.0532,1.78874,11.6335,"action_words","V4LIKEC"
"Cantonese","item_179",13.930681847,0.79006769924,5.6331717739344,1.03891,0.142924,0.000397192,27.0007,1.33995,13.6445,"action_words","V4HAVE"
"Cantonese","item_18",8.1443893648,0.46488172432,4.25920934584936,0.984648,0.135159,6.07998e-05,15.2004,0.813417,10.7578,"people","P2GUNG"
"Cantonese","item_180",33.177267316,1.4886322398,4.7237526143858,4.90187,0.286697,0.000954019,65.7424,2.82302,11.5802,"action_words","V4USE"
"Cantonese","item_181",15.2807336918,0.78547833124,5.32278666884845,1.26097,0.205954,6.38027e-06,29.0729,1.41566,12.7965,"action_words","V4LAUGH"
"Cantonese","item_182",16.8247044846,0.94092094466,5.8717924489364,0.867015,0.173598,0.000662392,33.1332,1.65993,14.1673,"action_words","V4CRYC"
"Cantonese","item_183",9.6936910762,0.45534741626,5.3027361782596,0.991765,0.0572372,0.000744638,19.0177,0.853957,13.0311,"action_words","V4SCOLD"
"Cantonese","item_184",23.469803616,1.15119192158,4.929961560518,2.3109,0.295034,0.00114783,43.4587,2.04554,12.2577,"action_words","V4SHOUTC"
"Cantonese","item_185",24.128326566,1.1296082966,4.894829555262,3.2372,0.261862,0.00272752,46.6769,2.07196,12.0975,"action_words","V4SAYC"
"Cantonese","item_186",44.725510912,2.00561831142,5.249940007306,1.74471,0.209125,0.00718982,95.807,4.22243,12.9056,"action_words","V4ASK"
"Cantonese","item_187",14.390452378,0.542749646016,4.685419609872,1.96974,0.0525299,0.00115148,30.2742,1.18213,11.4091,"action_words","V4COUNTC"
"Cantonese","item_188",20.8674300908,1.06087006904,5.15197197892,2.60357,0.287049,0.00866131,39.2053,1.86465,12.4678,"action_words","V4SING"
"Cantonese","item_189",15.8191423504,0.69793205898,5.0983317266,1.87567,0.118349,0.00364142,31.6365,1.34682,12.54,"action_words","V4READ"
"Cantonese","item_19",4.5288123966,0.246372733456,4.573012127612,0.570145,0.0450268,0.00116109,9.28319,0.477893,11.3222,"people","P2JEJE"
"Cantonese","item_190",9.6354901658,0.47814886762,5.31805136483976,0.838234,0.0779168,0.00231039,18.9658,0.893307,13.0044,"action_words","V4WRITE"
"Cantonese","item_191",14.150797844,0.69735530118,4.2734548366792,3.00683,0.231218,0.000318516,25.7034,1.20817,10.3576,"action_words","V4DRAW"
"Cantonese","item_192",14.0671093258,0.503287579814,4.5963006760848,1.89743,0.0110261,0.000207754,30.8207,1.14199,11.3792,"action_words","V4COLOR"
"Cantonese","item_193",14.3386367992,0.76162162306,5.445875746094,1.41198,0.15823,0.0030714,27.5733,1.31444,13.1934,"action_words","V4WATCH"
"Cantonese","item_194",15.589346364,0.596981731648,4.6302515830116,2.30378,0.0454717,0.0040266,32.859,1.26783,11.5627,"action_words","V4LOOKC"
"Cantonese","item_195",32.29344012,1.5070355772,4.885484824134,4.6018,0.336737,0.00666041,63.5903,2.78197,11.8922,"action_words","V4SEE"
"Cantonese","item_196",22.55879149,0.95578939166,4.8240939534366,2.63008,0.148497,0.000145317,45.9511,1.93138,11.9861,"action_words","V4BLINK"
"Cantonese","item_197",28.084174294,1.4544936464,5.174834715856,3.30777,0.313792,0.00152544,53.1231,2.45061,12.8275,"action_words","V4LISTN"
"Cantonese","item_198",23.634517978,0.99610737678,4.580131450776,3.14448,0.165998,0.0016618,46.4351,1.95171,11.3105,"action_words","V4SMELL"
"Cantonese","item_199",8.944606562,0.48275872986,4.834123015204,1.19197,0.127381,0.00242249,17.0523,0.858868,11.9403,"action_words","V4RUBC"
"Cantonese","item_2",6.3150900458,0.49381835964,4.2354873935,0.684106,0.164052,0.00201037,12.7479,0.865605,10.5453,"sounds","S1WEI"
"Cantonese","item_20",4.7365439086,0.3999352486,4.81344876965554,0.270974,0.0983892,1.37877e-05,10.3031,0.726534,11.7517,"people","P2ELDSIS"
"Cantonese","item_200",14.2987267964,0.78151029924,4.49298566985618,2.08407,0.270884,0.0010284,26.0895,1.33538,11.317,"action_words","V4WASH"
"Cantonese","item_201",29.5944330398,1.287112029982,5.57749481463916,1.12594,0.0264362,5.37458e-05,64.9832,2.70795,13.9716,"action_words","V4HANGC"
"Cantonese","item_202",14.729812592,0.75736733428,5.0406548787844,1.51129,0.165558,0.000442302,27.3282,1.29831,12.4854,"action_words","V4TIDYC"
"Cantonese","item_203",12.9613296796,0.470274425046,4.3221615010042,2.03488,0.0163739,0.000977881,26.8825,1.00427,10.9063,"action_words","V4PILUP2"
"Cantonese","item_204",16.5011568746,0.719961884922,5.3805790508436,1.63737,0.0862272,0.000391018,33.6793,1.41798,13.3694,"action_words","V4MOVE"
"Cantonese","item_205",14.2960777412,0.6616571425,5.4610632064206,1.19296,0.0832497,0.000824643,28.3443,1.24481,13.2971,"action_words","V4RINSE"
"Cantonese","item_206",12.4816087186,0.61065482878,5.88906301384,0.67029,0.0407377,0.00298788,25.5558,1.14546,14.388,"action_words","V4SWEEP"
"Cantonese","item_207",12.6942824576,0.68453263222,5.3359394828082,1.04806,0.161476,0.00626258,24.0032,1.1992,12.8502,"action_words","V4COMB"
"Cantonese","item_208",11.5426581158,0.65442668272,6.887900451388,0.70195,0.0960548,0.00954718,24.8141,1.22124,15.1124,"action_words","V4BRUSH"
"Cantonese","item_209",24.333611218,1.3503254968,5.3813520735678,1.69203,0.355821,0.000588539,44.764,2.26912,13.2344,"action_words","V4BUY"
"Cantonese","item_21",17.65154075,0.956371864,4.907326688084,1.85664,0.320552,0.00762736,32.0857,1.64186,12.1041,"people","P2YOUSIS"
"Cantonese","item_210",81.6153254306,3.771606056508,5.615749385618,1.76276,0.0495101,0.0029766,199.338,9.09761,13.984,"action_words","V4SELL"
"Cantonese","item_211",24.072851012,1.15877242618,5.04635280238,2.64088,0.271566,0.0149431,46.1474,2.09679,12.4148,"action_words","V4COOKC"
"Cantonese","item_212",17.2105915226,0.9719904768,4.86875551233378,1.99401,0.348077,0.00278962,31.2846,1.65779,11.9488,"action_words","V4SMEAR"
"Cantonese","item_213",10.641745324,0.55755575438,5.1921873749262,1.09874,0.12023,0.00529883,20.3395,0.988315,12.4951,"action_words","V4PRESSC"
"Cantonese","item_214",8.00093881,0.38474038388,5.5168333862402,0.794667,0.0468967,0.000682221,16.1723,0.729435,13.4209,"action_words","V4PRICKC"
"Cantonese","item_215",10.0954381114,0.433937517922,5.2423798419418,0.896685,0.0584865,0.000931669,19.9238,0.858388,12.9643,"action_words","V4POINT"
"Cantonese","item_216",7.47220615,0.302505097374,4.845829363718,0.922863,0.0281802,0.00374489,14.8162,0.604066,12.0448,"action_words","V4POKE"
"Cantonese","item_217",22.2346418174,0.91966562416,5.329910272866,1.34458,0.0339648,0.0022008,47.2682,1.93005,13.4441,"action_words","V4INSER"
"Cantonese","item_218",6.492897841,0.36298779894,5.2636348665668,0.643904,0.0686265,0.000219234,13.1665,0.68386,12.9201,"action_words","V4PINCHC"
"Cantonese","item_219",18.5222583102,0.81021577884,5.03171122491,1.91402,0.138403,0.00218227,36.163,1.56404,12.4318,"action_words","V4TWIST"
"Cantonese","item_22",7.7828263556,0.5385550026,4.028330173692,0.986637,0.191706,0.00151608,14.7212,0.907818,10.1862,"people","P2ELDBRO"
"Cantonese","item_220",15.050199254,0.61295845082,4.350085819962,2.33469,0.105061,0.00676094,29.5458,1.22589,10.603,"action_words","V4WIND"
"Cantonese","item_221",30.2238707176,1.295530923504,5.7915544098914,1.35836,0.02541,0.000333637,68.1001,2.87033,14.6563,"action_words","V4GRASP"
"Cantonese","item_222",17.175442112,0.85647142976,5.016990865724,2.15902,0.24016,0.00059416,32.1656,1.5306,12.23,"action_words","V4STIR"
"Cantonese","item_223",15.0538963196,0.62087033146,5.023526736482,1.51746,0.0944665,0.00236058,30.0541,1.26988,12.539,"action_words","V4SQUEEZ"
"Cantonese","item_224",6.1864285594,0.291182103394,5.688226424482,0.616781,0.0304432,0.001838,12.9149,0.586524,13.5546,"action_words","V4TICKLE"
"Cantonese","item_225",14.7014169798,0.68602169724,5.25987425740534,1.42887,0.103259,3.39567e-05,28.8114,1.26674,13.0421,"action_words","V4ITCH"
"Cantonese","item_226",14.9290303014,0.505400360394,4.6537265754364,1.37564,0.00177819,0.000248912,33.2698,1.23885,11.557,"action_words","V4SCRATC"
"Cantonese","item_227",15.13430121,0.7598563421,4.6809115114144,1.96269,0.197176,0.000613652,27.7642,1.29421,11.5002,"action_words","V4TOUCH"
"Cantonese","item_228",42.195943436,1.82604384062,5.440021096024,1.45534,0.0583485,0.00174053,98.1063,4.20591,13.849,"action_words","V4STROKE"
"Cantonese","item_229",16.505787967,0.71841554558,4.4808588469312,3.06936,0.167299,0.000829856,32.019,1.35699,11.019,"action_words","V4TOUCH2"
"Cantonese","item_23",10.2416733344,0.47668168352,4.70441697790858,1.91141,0.11377,8.76329e-05,19.8493,0.874596,11.5608,"people","P2YOUBRO"
"Cantonese","item_230",6.9602954248,0.38322726978,4.629199751848,0.829184,0.0967067,0.00136379,13.2909,0.694418,11.3816,"action_words","V4DROPC"
"Cantonese","item_231",16.6098262896,0.710773473143,5.385927739554,1.03101,0.038089,0.00321634,33.7277,1.40925,13.6279,"action_words","V4THROWC"
"Cantonese","item_232",9.9130919364,0.46615181064,5.0292212030806,1.29946,0.0833168,0.000421033,19.6274,0.871631,12.3783,"action_words","V4THROW2"
"Cantonese","item_233",15.673570048,0.63799399684,4.3421427058676,2.32079,0.103014,0.000505227,30.5863,1.23955,10.8015,"action_words","V4PLUCKC"
"Cantonese","item_234",19.508306256,0.88515011058,4.0505428771262,3.83455,0.281326,0.000795691,35.3101,1.57246,10.3414,"action_words","V4TEARC"
"Cantonese","item_235",15.5323493506,0.73503092552,5.551800332714,1.47416,0.116373,0.00153151,30.6587,1.37015,13.2796,"action_words","V4PEEL"
"Cantonese","item_236",13.783272869,0.72607839366,5.415453768616,1.30035,0.161825,0.00327243,26.6881,1.29776,13.1439,"action_words","V4UNDRES"
"Cantonese","item_237",17.040297994,0.92858649862,5.392797979158,1.63974,0.246415,0.00128077,31.9237,1.5989,12.9993,"action_words","V4WEARC"
"Cantonese","item_238",15.6229492308,0.75587530412,4.4584694203696,2.50384,0.245453,0.000146361,28.9748,1.35901,11.3482,"action_words","V4WEAR2"
"Cantonese","item_239",12.0043892296,0.71710736298,5.51157983833272,0.75417,0.123268,9.26636e-05,23.2978,1.20847,13.6176,"action_words","V4KNOW"
"Cantonese","item_24",9.1610516042,0.6168957049,4.11619391903068,1.38176,0.215326,9.78534e-05,17.3817,1.01986,10.3522,"people","P2JIJI"
"Cantonese","item_240",12.7032302702,0.55918957194,5.05401758968,1.02907,0.099224,0.00461415,24.5719,1.07741,12.5398,"action_words","V4UNDSTD"
"Cantonese","item_241",11.9163553694,0.61113732012,4.379564874142,2.09477,0.185774,0.00187218,22.2749,1.06106,10.98,"action_words","V4KNOWHW"
"Cantonese","item_242",18.4153085436,0.86532297134,4.875291092326,1.69166,0.163751,0.0028531,34.2113,1.52128,12.2119,"action_words","V4REMEM"
"Cantonese","item_243",11.2326164176,0.5241269109,4.99611532250142,1.41401,0.101074,6.76971e-05,21.6088,0.969157,12.1117,"action_words","V4CAN"
"Cantonese","item_244",37.7773279918,1.64320358656,5.3138079362858,2.31957,0.109353,0.000483629,83.4426,3.55161,13.0329,"action_words","V4THINKC"
"Cantonese","item_245",11.3193648256,0.3174937329224,4.5392378163628,1.13303,0.000109414,0.000375734,27.5912,0.927502,11.3729,"action_words","V4DREAMC"
"Cantonese","item_246",26.5304038144,1.062724977364,4.9636012484492,1.73114,0.062801,0.000429936,58.5052,2.43122,12.4761,"action_words","V4GUESS"
"Cantonese","item_247",19.5193345464,0.792081299192,5.3917965757268,1.2565,0.0445533,0.000184511,42.1289,1.70057,13.4527,"action_words","V4TRY2"
"Cantonese","item_248",26.0034544,1.10003309124,5.2019552624654,2.09436,0.124163,0.000379445,55.3281,2.34486,13.0209,"action_words","V4PRETEC"
"Cantonese","item_249",24.8251745352,1.1646831709,5.593163378466,1.62602,0.14105,0.00365371,50.0333,2.20665,13.9571,"action_words","V4FOLD"
"Cantonese","item_25",3.7634135978,0.24524396226,5.174448253604,0.251018,0.0293761,0.00469313,8.01047,0.466064,12.7379,"people","P2BAAK"
"Cantonese","item_250",10.7834015658,0.512165602,5.331432313432,1.07197,0.078601,0.00337993,21.4594,0.961886,13.0499,"action_words","V4STICKC"
"Cantonese","item_251",8.3234840032,0.35408980536,5.27803301545,1.03601,0.0403016,0.00387404,16.9102,0.705279,12.9604,"action_words","V4PILEUP"
"Cantonese","item_252",7.6579034166,0.35579680873,5.25430238391576,0.636729,0.0401357,0.00579337,15.2203,0.692775,13.2876,"action_words","V4CHOP"
"Cantonese","item_253",14.9254960816,0.77456001052,6.004749258896,1.04835,0.119614,0.00697539,29.6441,1.42467,14.1202,"action_words","V4CUT"
"Cantonese","item_254",14.4831305774,0.57664478518,4.741259769562,1.7515,0.0713833,0.00991152,28.8913,1.16916,11.8671,"action_words","V4TIEUPC"
"Cantonese","item_255",13.6084171826,0.700009025,4.636514313188,2.02478,0.16893,0.000907444,25.1155,1.19913,11.7051,"action_words","V4CRAWL"
"Cantonese","item_256",14.11000041,0.59014698186,4.72186147294,1.43165,0.0887029,0.00376538,27.4174,1.1459,11.9239,"action_words","V4ROLLC"
"Cantonese","item_257",16.3078312722,0.684095922522,5.12742193725,1.74143,0.0591473,0.00184335,33.3385,1.37471,12.9108,"action_words","V4CLIMB"
"Cantonese","item_258",12.0831617746,0.497017367336,4.9521972395462,1.28184,0.0611192,0.002632,24.4127,1.00168,12.3472,"action_words","V4LIEFL"
"Cantonese","item_259",21.714138898,0.98089636506,4.8262273931218,2.22121,0.170219,0.000247296,40.6144,1.77702,12.4201,"action_words","V4SQUATC"
"Cantonese","item_26",13.184346068,0.76439839484,4.86203266359544,1.95428,0.2652,4.99902e-05,24.9648,1.30924,11.6436,"people","P2SUKSUK"
"Cantonese","item_260",24.376428044,1.196784171,4.5815182364872,4.50831,0.384033,0.000179376,44.8684,2.04055,11.3415,"action_words","V4LAYC"
