"language","item.id","delta_Mean","k_Mean","lambda_Mean","delta_HDIlow","k_HDIlow","lambda_HDIlow","delta_HDIhigh","k_HDIhigh","lambda_HDIhigh","category","item"
"Cantonese","item_118",1.7657846956,8.3110422222,7.51371908052,0.738032,0.815956,0.0509589,2.97428,21.858,16.3162,"action_words","V4EATC"
"Cantonese","item_119",1.5170695424,13.042899838,5.183681872336,0.650473,1.74476,0.00755258,2.49286,33.6232,12.826,"action_words","V4DRINKC"
"Cantonese","item_12",1.849757116,2.5388555034,22.2694899544,0.585107,0.320212,0.201514,3.54079,6.26992,41.1915,"sounds","S1BIRDC"
"Cantonese","item_120",1.452707749,15.893371758,5.8454652864,0.605342,2.08097,0.00521646,2.77174,35.6047,17.7429,"action_words","V4FEED"
"Cantonese","item_121",1.910347187,6.8168090762,10.056406018,0.70129,0.741219,0.0881682,3.42692,18.0429,21.4896,"action_words","V4BITE"
"Cantonese","item_122",1.9708730726,6.2410210998,17.475009315024,0.595496,0.665658,0.00733797,3.77631,16.3384,35.504,"action_words","V4CHEWC"
"Cantonese","item_123",1.9104277796,4.7758320114,15.38520435496,0.701045,0.734555,0.447922,3.30905,11.6274,29.4269,"action_words","V4SUCK"
"Cantonese","item_124",1.6083801424,12.433056648,6.399253075026,0.788957,1.57942,0.00316275,3.06069,26.7739,17.1288,"action_words","V4BLOW"
"Cantonese","item_125",1.733737485,11.920683048,8.07041325606,0.643501,1.54583,0.0114786,2.90598,29.9529,18.3975,"action_words","V4SWALLC"
"Cantonese","item_126",1.669409533,10.4797494156,9.6980126358756,0.466059,0.750799,0.00016962,3.63263,27.9096,26.2626,"action_words","V4SPITC"
"Cantonese","item_127",1.7477909064,8.1145467622,7.99692616496,0.635535,0.835107,0.0167927,2.90672,21.9652,17.5004,"action_words","V4COUGH"
"Cantonese","item_128",2.1553322994,1.99804060362,13.51269245142,0.656841,0.078989,0.373449,4.24865,6.40447,25.2709,"action_words","V4HIT"
"Cantonese","item_129",2.0381678622,4.846277685,12.25927486384,0.679707,0.363421,0.172572,3.85104,13.7324,24.6817,"action_words","V4CLAP"
"Cantonese","item_13",1.8332593494,3.2306351672,19.5443988564,0.641603,0.392968,0.421822,3.53241,8.20007,37.4345,"sounds","S1CHICKC"
"Cantonese","item_130",1.5677957356,12.769580734,5.66296065492,0.652771,2.02213,0.0307529,2.47493,31.746,13.2282,"action_words","V4DRAG"
"Cantonese","item_131",1.6738662228,7.6662410802,9.34429092256,0.700806,0.852184,0.0840165,2.92915,19.0305,21.4409,"action_words","V4SHAKE"
"Cantonese","item_132",1.4577780988,11.303352909,5.32561164478,0.625615,0.80218,0.0108135,2.67049,27.7349,15.1291,"action_words","V4GIVEC"
"Cantonese","item_133",1.5562044568,12.7359545542,6.07981793292,0.639383,1.65077,0.0132202,2.74205,33.3124,16.3399,"action_words","V4TAKE"
"Cantonese","item_134",1.639748825,9.2355744648,8.45522418366,0.66006,1.21364,0.0260519,2.8948,22.4987,20.5159,"action_words","V4CARRY"
"Cantonese","item_135",1.7336391576,11.5364245682,7.681238026723,0.447141,0.816448,0.000321412,3.10978,32.2913,18.6998,"action_words","V4HOLD2"
"Cantonese","item_136",1.5202315944,12.76416031,5.6390457603,0.660818,1.40343,0.0300279,2.64573,29.857,15.3222,"action_words","V4PUTC"
"Cantonese","item_137",1.912302579,9.804637796,9.45534137752,0.761045,1.57137,0.0215402,3.24669,25.9821,19.3004,"action_words","V4PUT"
"Cantonese","item_138",1.683170108,7.312886144,7.80662286336,0.64857,0.679073,0.0225543,2.88655,16.9604,17.5759,"action_words","V4KISSC"
"Cantonese","item_139",1.7922198888,7.100008934,7.772396281054,0.560068,0.413031,0.00324444,3.23185,20.1334,17.7775,"action_words","V4HOLD"
"Cantonese","item_14",1.8790584902,2.69784181546,9.5325320302,0.645644,0.0781559,0.0351859,3.43603,8.50742,19.5253,"people","P2MOMMY"
"Cantonese","item_140",1.5724859852,11.2463369806,7.167890698806,0.54801,0.878928,0.00783271,2.89898,27.1531,19.3749,"action_words","V4HUGC"
"Cantonese","item_141",1.6683982658,9.7837121416,7.61549271796,0.586559,1.04315,0.0184353,2.99426,27.5766,18.8245,"action_words","V4CARRY2"
"Cantonese","item_142",1.6800696394,9.695177201,8.81730534378,0.628464,1.75569,0.0392676,2.93969,24.6308,20.6125,"action_words","V4FU"
"Cantonese","item_143",1.4306201966,14.126992772,4.247117810458,0.555748,1.16977,0.00265091,2.71971,28.0789,14.5177,"action_words","V4SIT"
"Cantonese","item_144",1.6564622584,11.7132952862,6.33776571002,0.67732,1.47986,0.0408758,2.80178,28.8935,15.6378,"action_words","V4WALKC"
"Cantonese","item_145",1.5562750138,17.2043963836,5.824890327632,0.479261,1.12913,0.0010497,2.87128,49.6413,16.1723,"action_words","V4LEAVE"
"Cantonese","item_146",1.6495848082,11.09859671,7.81876696412,0.722973,1.48595,0.0806322,3.06021,25.2065,20.3623,"action_words","V4RUN"
"Cantonese","item_147",1.6882847478,9.8389684462,8.1125246497,0.693148,1.32338,0.0222064,2.87463,22.4269,18.5494,"action_words","V4CHASE"
"Cantonese","item_148",1.724285089,12.229919386,6.85571168662,0.725573,1.54894,0.0651241,3.07295,28.4525,17.5066,"action_words","V4STANDC"
"Cantonese","item_149",1.646134925,14.3098062338,7.06065483499,0.618231,1.53811,0.0022066,3.01741,37.0415,18.4736,"action_words","V4STOP"
"Cantonese","item_15",1.9027238394,3.46698894022,8.379721633304,0.626969,0.0497137,0.00858522,3.53935,11.4679,17.7697,"people","P2DADDY"
"Cantonese","item_150",1.3559490294,22.825055222,4.461845973794,0.5023,1.38992,0.00260171,2.49673,63.5431,13.736,"action_words","V4GO"
"Cantonese","item_151",1.7425548986,11.5362726136,7.513484423184,0.612392,0.988218,0.00993792,3.14146,30.1213,18.6254,"action_words","V4ASCND"
"Cantonese","item_152",1.5175613652,20.3228259448,6.120594752845,0.470419,1.19679,0.000857185,2.95342,62.4494,17.9214,"action_words","V4DOWNC"
"Cantonese","item_153",1.3525447692,29.10456836,4.151446438014,0.527065,1.85249,0.00162302,2.69221,78.4373,14.6349,"action_words","V4EXIT"
"Cantonese","item_154",1.7387187362,13.347329126,7.18944178642,0.686295,1.513,0.0106994,3.1797,36.1043,18.3753,"action_words","V4ENTERC"
"Cantonese","item_155",1.521346007,13.918196594,4.9568720816,0.695376,1.74913,0.0211687,2.47711,34.312,12.5236,"action_words","V4PLAY"
"Cantonese","item_156",2.044915408,12.008572662,9.6682974024,0.825133,1.49153,0.221986,3.71735,28.2341,21.8809,"action_words","V4LEARN"
"Cantonese","item_157",1.7951618476,9.6150314906,7.478026370432,0.638294,1.09017,0.00489814,3.09053,25.9171,16.9497,"action_words","V4SLEEPC"
"Cantonese","item_158",1.6334151086,14.44341621,5.85118771668,0.673381,1.81335,0.0423364,2.73211,35.8056,14.7852,"action_words","V4GETUPC"
"Cantonese","item_159",1.8701277862,12.228694144,8.154384354,0.781501,2.08323,0.135022,3.08536,28.3344,17.9816,"action_words","V4AWAKE"
"Cantonese","item_16",1.7456487686,5.6739995088,8.309175715318,0.609028,0.457067,0.00235802,3.06244,14.4353,18.2917,"people","P2POHPOH"
"Cantonese","item_160",1.870180775,7.5428895216,8.57627372644,0.692785,0.588139,0.0360526,3.24242,18.5764,18.73,"action_words","V4FALL"
"Cantonese","item_161",1.7973281,7.763494379,8.55211092856,0.652983,0.81405,0.0357957,3.09647,20.5516,18.8545,"action_words","V4KICK"
"Cantonese","item_162",1.907574707,7.665885064,9.38398982886,0.817154,1.19108,0.220526,3.12694,18.6691,18.751,"action_words","V4JUMP"
"Cantonese","item_163",1.830038996,12.259023208,8.64191853124,0.666329,1.08671,0.0475695,3.26328,33.793,20.0797,"action_words","V4DANCE"
"Cantonese","item_164",1.8461266288,6.9737740768,11.455351706452,0.708814,0.76982,0.00272476,3.43322,15.5212,25.0375,"action_words","V4BOUNCC"
"Cantonese","item_165",2.0567324646,6.2536928518,11.11241259146,0.72735,0.565797,0.0152784,3.80411,16.583,22.7213,"action_words","V4FLY"
"Cantonese","item_166",1.3715173032,17.796916762,4.261758001491,0.552404,1.58193,0.00088541,2.42599,39.1347,13.1795,"action_words","V4SWIMC"
"Cantonese","item_167",1.6709130346,8.989826718,8.908702304648,0.481768,1.14027,0.00166597,3.01854,22.0349,21.6527,"action_words","V4SWINGC"
"Cantonese","item_168",1.6561310354,11.2754538802,7.962482822566,0.598824,0.702629,0.0117686,3.25585,29.79,21.0479,"action_words","V4SPIN"
"Cantonese","item_169",1.7994898944,16.42375523,7.260902107294,0.598029,1.24545,0.00424751,3.16784,48.6076,17.6488,"action_words","V4MOVE2"
"Cantonese","item_17",1.5552123252,5.234602202,8.9363727848,0.567512,0.370689,0.00861331,2.95552,13.7201,21.8676,"people","P2MAAMAA"
"Cantonese","item_170",1.7744650024,11.869578758,7.48723851412,0.763804,1.59167,0.0572343,3.09059,28.568,17.971,"action_words","V4HIDEC"
"Cantonese","item_171",1.630926954,17.06700124,5.62550914136,0.786527,2.6715,0.0535662,2.8845,35.5172,15.6765,"action_words","V4FIND"
"Cantonese","item_172",1.9306550492,10.2437716796,9.411176733928,0.633252,0.700252,0.0029954,3.86991,26.0639,22.8562,"action_words","V4CATCHC"
"Cantonese","item_173",1.6794075826,10.7947627192,6.34649882574,0.744743,1.26578,0.0401061,2.90719,25.721,15.5676,"action_words","V4OPEN"
"Cantonese","item_174",1.6260843748,15.461470924,6.1522929973354,0.472647,1.69541,0.000168092,2.77433,43.1453,15.5857,"action_words","V4TURNOF"
"Cantonese","item_175",1.9700575648,9.5507102912,8.4790458331,0.791281,0.923072,0.134783,3.39487,24.9674,18.355,"action_words","V4CLOSE"
"Cantonese","item_176",1.860800777,7.1980225352,11.0145110538,0.715535,0.844659,0.109792,3.3421,17.511,23.9699,"action_words","V4KNOCK"
"Cantonese","item_177",1.6025141898,9.8451570912,6.16440724686,0.62023,1.20092,0.0183034,2.65058,23.8055,14.5076,"action_words","V4WANTC"
"Cantonese","item_178",1.7584062686,15.19638626,6.812837788948,0.664571,1.32771,0.00335416,3.28694,34.372,17.7804,"action_words","V4LIKEC"
"Cantonese","item_179",1.4691429922,13.716375538,4.925414780896,0.602122,1.10663,0.00545483,2.5052,32.3533,13.4423,"action_words","V4HAVE"
"Cantonese","item_18",1.473126462,6.5984952142,7.36159678574,0.626126,0.644529,0.0166155,2.54824,15.3346,18.1059,"people","P2GUNG"
"Cantonese","item_180",1.6896105082,15.1453829144,7.322104761254,0.592349,1.64077,0.00395454,3.08286,38.8845,19.1478,"action_words","V4USE"
"Cantonese","item_181",1.6737826018,12.405169968,6.489051518322,0.773839,1.40012,0.00614658,2.96279,29.0531,16.0178,"action_words","V4LAUGH"
"Cantonese","item_182",1.696957627,13.238836834,6.168211186634,0.676613,1.21358,0.0027506,2.89041,33.382,14.9169,"action_words","V4CRYC"
"Cantonese","item_183",1.957175866,10.3643247982,9.400234586672,0.598376,0.68859,0.00975096,4.11845,30.5976,23.3853,"action_words","V4SCOLD"
"Cantonese","item_184",1.6404453002,12.164457924,6.63452295744,0.803558,1.70851,0.107182,2.80383,25.838,16.2891,"action_words","V4SHOUTC"
"Cantonese","item_185",1.4428965088,25.484766268,4.144960319982,0.551668,1.74308,0.00334493,2.69359,70.8441,14.1552,"action_words","V4SAYC"
"Cantonese","item_186",1.9102853096,14.858310416,8.4069244459,0.676129,1.78643,0.0406993,3.41815,37.6021,20.2088,"action_words","V4ASK"
"Cantonese","item_187",1.8870761308,10.2637419834,9.5723955102,0.781371,1.40644,0.170495,3.34046,23.1417,21.8851,"action_words","V4COUNTC"
"Cantonese","item_188",1.5463492618,13.998135558,5.572321703,0.676012,1.55299,0.0337437,2.72373,30.0081,15.7982,"action_words","V4SING"
"Cantonese","item_189",1.7662108552,13.386493854,7.7012316332,0.625026,1.64448,0.0174246,3.18491,37.5154,19.1251,"action_words","V4READ"
"Cantonese","item_19",1.8562311762,3.0990155018,14.10274002714,0.634529,0.243329,0.156888,3.42359,8.20207,27.5475,"people","P2JEJE"
"Cantonese","item_190",1.6424528258,10.3848764814,6.9486409039,0.69605,0.845844,0.107407,3.25047,23.2997,19.9541,"action_words","V4WRITE"
"Cantonese","item_191",1.774039084,8.8007468796,8.393947849,0.759689,0.7892,0.122259,3.07609,21.3468,18.9921,"action_words","V4DRAW"
"Cantonese","item_192",2.06388095,9.7797728154,11.4171088284,0.590688,1.17344,0.0115834,3.95047,22.6958,25.4559,"action_words","V4COLOR"
"Cantonese","item_193",1.8319910384,11.6760208782,6.94790526598,0.847401,1.599,0.0263906,3.13973,26.8727,16.0511,"action_words","V4WATCH"
"Cantonese","item_194",1.9571634026,9.3526256602,10.65341763878,0.703331,1.32981,0.107235,3.51566,22.2759,23.2765,"action_words","V4LOOKC"
"Cantonese","item_195",1.552431921,17.083832426,5.49119417288,0.732951,2.47129,0.0363437,2.70664,38.8687,15.2862,"action_words","V4SEE"
"Cantonese","item_196",1.7631155564,10.1114639094,10.213642871942,0.659391,1.33069,0.00914431,3.37799,25.2193,24.3699,"action_words","V4BLINK"
"Cantonese","item_197",1.3513203846,20.487500534,3.718396378758,0.650159,3.19151,0.0072006,2.35084,42.4572,11.9209,"action_words","V4LISTN"
"Cantonese","item_198",1.9383464648,9.4464990306,10.75356272628,0.688414,1.34891,0.0390344,3.43445,24.2016,23.4195,"action_words","V4SMELL"
"Cantonese","item_199",1.9683256148,5.893234179,10.48894983436,0.700244,0.778815,0.0141307,3.44503,15.3525,21.1711,"action_words","V4RUBC"
"Cantonese","item_2",1.7796513044,3.8045672194,9.67140545604,0.702072,0.2087,0.0472379,3.34938,10.7535,20.7388,"sounds","S1WEI"
"Cantonese","item_20",1.635356442,4.2622819312,8.658190639946,0.55373,0.145375,0.00243856,3.1175,12.2024,20.4614,"people","P2ELDSIS"
"Cantonese","item_200",1.3092064166,25.3207256446,4.4259054771444,0.468941,1.45162,0.000615509,2.51527,72.9508,14.3177,"action_words","V4WASH"
"Cantonese","item_201",1.4498610388,17.518305604,6.428749820086,0.600235,1.62379,0.00213398,2.7376,40.6053,18.9413,"action_words","V4HANGC"
"Cantonese","item_202",1.8470448044,8.3504141204,9.05709912202,0.690487,1.05999,0.0761691,3.22113,21.5769,19.9416,"action_words","V4TIDYC"
"Cantonese","item_203",1.6414610438,11.4548275156,10.238883441894,0.509834,0.943507,0.00830166,3.22914,31.6616,26.3745,"action_words","V4PILUP2"
"Cantonese","item_204",1.77410049,10.868647656,8.4915937298,0.720885,1.24643,0.0351377,3.13764,26.9433,20.0719,"action_words","V4MOVE"
"Cantonese","item_205",1.5749252818,11.233955594,6.91642986386,0.710955,1.63457,0.088113,2.74875,25.2166,18.0188,"action_words","V4RINSE"
"Cantonese","item_206",1.6991905162,9.823635958,8.112294920754,0.697861,1.73558,0.00827738,2.82738,24.1195,17.0517,"action_words","V4SWEEP"
"Cantonese","item_207",1.6075675248,10.5848073596,6.59684147546,0.664452,0.934663,0.0113824,2.80701,25.554,16.8268,"action_words","V4COMB"
"Cantonese","item_208",1.487884595,15.3079261564,5.036146932372,0.610625,1.6267,0.00989026,2.86786,33.7925,16.0108,"action_words","V4BRUSH"
"Cantonese","item_209",1.3739131464,17.147987202,4.089938637182,0.690092,2.50088,0.00371845,2.33548,37.8772,11.8119,"action_words","V4BUY"
"Cantonese","item_21",1.4659416782,10.210875375,6.392908822826,0.623791,1.17097,0.00234383,2.55307,25.0317,16.2352,"people","P2YOUSIS"
"Cantonese","item_210",1.9267788728,6.3780920388,18.21374815866,0.676966,0.835511,0.144043,3.64886,15.6017,38.7369,"action_words","V4SELL"
"Cantonese","item_211",1.7280592766,14.986941864,6.2729821599,0.752742,1.36451,0.0318399,2.87258,33.8899,15.1392,"action_words","V4COOKC"
"Cantonese","item_212",1.613572354,12.0610583946,5.97671451512,0.676201,1.49881,0.0269701,2.90864,28.9681,16.0593,"action_words","V4SMEAR"
"Cantonese","item_213",1.6743476662,8.9630694536,7.82056774718,0.642909,1.04968,0.0689896,2.81722,23.4625,17.895,"action_words","V4PRESSC"
"Cantonese","item_214",1.7179363062,6.8587909562,10.178528930888,0.572839,0.816035,0.00527419,3.19177,18.6052,23.3894,"action_words","V4PRICKC"
"Cantonese","item_215",1.9211188466,6.5607755716,12.0291451479,0.599233,0.795981,0.0151312,3.53859,16.854,25.5333,"action_words","V4POINT"
"Cantonese","item_216",1.9731121698,4.6895749442,15.11878963298,0.671156,0.588964,0.685507,3.76587,12.1133,30.4758,"action_words","V4POKE"
"Cantonese","item_217",1.9258192234,8.1975996356,13.1576282680934,0.668847,1.0642,0.000239438,3.69948,20.3009,27.824,"action_words","V4INSER"
"Cantonese","item_218",1.5830112642,5.333012373,9.19196410612,0.661759,0.669692,0.125375,2.67,13.1172,20.2525,"action_words","V4PINCHC"
"Cantonese","item_219",1.8757784322,7.7774561982,11.32876185,0.73529,0.986243,0.193352,3.43652,19.765,24.7511,"action_words","V4TWIST"
"Cantonese","item_22",1.8713423158,4.4491624422,9.96019646372,0.693107,0.250178,0.0106401,3.57603,13.1209,21.5589,"people","P2ELDBRO"
"Cantonese","item_220",1.7980667204,7.9780929014,10.83198580088,0.695882,1.07997,0.0716649,3.23466,20.0147,24.0279,"action_words","V4WIND"
"Cantonese","item_221",1.9607034322,8.7279176454,12.09591847764,0.80543,1.29024,0.296402,3.55423,20.2831,25.8911,"action_words","V4GRASP"
"Cantonese","item_222",1.7595602654,11.7782206824,7.566265967118,0.577321,1.46475,0.00797522,2.99809,32.4008,17.6028,"action_words","V4STIR"
"Cantonese","item_223",1.8386899524,8.3814664886,11.132943765826,0.626506,1.03701,0.00916967,3.36661,21.8874,24.494,"action_words","V4SQUEEZ"
"Cantonese","item_224",1.6296266828,5.95084344,10.634960485928,0.603508,0.730458,0.00176167,3.03557,15.4366,23.6757,"action_words","V4TICKLE"
"Cantonese","item_225",1.6272615326,9.8303877598,8.14375252582,0.631628,1.02627,0.0156901,2.89725,24.6182,20.0296,"action_words","V4ITCH"
"Cantonese","item_226",1.9547312364,8.4518006992,13.1109143871,0.582334,1.00839,0.024598,3.67313,21.1073,28.3102,"action_words","V4SCRATC"
"Cantonese","item_227",1.6979517674,11.691510108,7.27677478812,0.603301,1.23725,0.0101273,3.17901,31.4131,18.8166,"action_words","V4TOUCH"
"Cantonese","item_228",2.0086537786,7.985083312,14.740890037912,0.635858,0.976981,0.00440388,3.95066,21.2951,32.7471,"action_words","V4STROKE"
"Cantonese","item_229",2.2024809866,6.7384809224,12.3063425744,0.966386,1.18308,1.12882,3.73373,15.7127,23.2056,"action_words","V4TOUCH2"
"Cantonese","item_23",1.5574061412,7.241512713,9.028841333902,0.541385,1.13048,0.00807425,2.6964,17.8874,21.5305,"people","P2YOUBRO"
"Cantonese","item_230",1.9797142984,9.428636194,9.6630798794086,0.563564,0.406323,0.000387555,4.12774,30.004,22.4762,"action_words","V4DROPC"
"Cantonese","item_231",2.096030634,7.3613309834,12.5857893268,0.798234,0.891892,0.333538,3.77123,18.9001,25.1583,"action_words","V4THROWC"
"Cantonese","item_232",1.9472377642,6.3865257798,11.13918454074,0.723907,0.687043,0.103191,3.50925,15.8566,23.277,"action_words","V4THROW2"
"Cantonese","item_233",1.8270088052,8.544696709,10.47639328512,0.695421,1.01282,0.094913,3.32196,21.2085,23.7627,"action_words","V4PLUCKC"
"Cantonese","item_234",1.8484547902,8.9864272586,9.52169905016,0.644331,0.986995,0.039223,3.21681,22.1087,20.9517,"action_words","V4TEARC"
"Cantonese","item_235",1.590165734,7.2783134898,9.79032930736,0.634953,0.543509,0.0960858,2.80792,17.8045,23.2852,"action_words","V4PEEL"
"Cantonese","item_236",1.6567349048,10.5654262684,7.01927960475,0.701992,1.2774,0.00470081,2.78594,26.3033,16.2691,"action_words","V4UNDRES"
"Cantonese","item_237",1.400742167,17.225050928,3.7942467439,0.73502,3.73191,0.0323591,2.09606,37.5044,9.16707,"action_words","V4WEARC"
"Cantonese","item_238",1.8959060322,9.239542095,9.207316631138,0.662345,0.72803,0.00550308,3.56164,24.2388,21.253,"action_words","V4WEAR2"
"Cantonese","item_239",1.5064389942,11.8844682154,5.42989693448,0.707861,1.02147,0.0429304,2.78193,27.2898,15.76,"action_words","V4KNOW"
"Cantonese","item_24",1.5235885554,5.2170547592,7.77038741828,0.657634,0.543973,0.0567097,2.59163,13.6831,17.7682,"people","P2JIJI"
"Cantonese","item_240",1.685470978,10.123420875,8.71643724546,0.608542,0.823665,0.0214136,3.31958,24.7755,22.9668,"action_words","V4UNDSTD"
"Cantonese","item_241",1.9983112406,6.828326331,10.314033387074,0.817035,0.966817,0.00329338,3.46836,17.8521,20.3629,"action_words","V4KNOWHW"
"Cantonese","item_242",1.883398895,11.2678996274,8.42288577422,0.670225,1.54292,0.0244825,3.23803,31.257,18.7852,"action_words","V4REMEM"
"Cantonese","item_243",1.6166425322,10.2989359542,7.25673532094,0.708684,1.28043,0.0202884,2.93774,23.4863,18.5835,"action_words","V4CAN"
"Cantonese","item_244",1.9180898376,11.1687519338,10.2206015504,0.698561,1.3577,0.084503,3.61647,27.3344,24.5376,"action_words","V4THINKC"
"Cantonese","item_245",2.1991301552,8.4443965962,14.93835105942,0.722955,1.1101,0.0306213,4.18262,21.7705,29.8871,"action_words","V4DREAMC"
"Cantonese","item_246",1.735549334,11.8049605176,10.86562478432,0.535863,1.14391,0.028624,3.44737,33.8374,27.8709,"action_words","V4GUESS"
"Cantonese","item_247",1.9197066344,11.375742048,9.51393584036,0.755799,1.55566,0.0696796,3.36521,28.1892,20.7802,"action_words","V4TRY2"
"Cantonese","item_248",1.9901384438,10.206655446,10.81726328266,0.703625,1.28467,0.0508547,3.6598,26.3444,23.8306,"action_words","V4PRETEC"
"Cantonese","item_249",1.3273790736,18.205512982,4.802547565672,0.532505,2.12099,0.00349536,2.3422,45.479,14.6018,"action_words","V4FOLD"
"Cantonese","item_25",1.5536261362,4.2080983464,10.146027636658,0.540276,0.181477,0.0065441,2.91197,12.352,23.2481,"people","P2BAAK"
"Cantonese","item_250",2.025734899,7.326735316,10.47605405728,0.817272,0.616355,0.074051,3.66062,17.5031,21.8419,"action_words","V4STICKC"
"Cantonese","item_251",2.1079603072,6.7370362514,11.3868022955,0.813988,1.1798,0.485896,3.48988,16.8625,21.6204,"action_words","V4PILEUP"
"Cantonese","item_252",2.0364594474,6.2521710462,11.55757006118,0.754989,0.570082,0.023928,3.80339,16.4141,23.5368,"action_words","V4CHOP"
"Cantonese","item_253",1.6837602996,12.649280682,6.883515316578,0.647545,1.449,0.0320313,2.98025,34.531,17.4249,"action_words","V4CUT"
"Cantonese","item_254",2.0624255818,9.313085646,11.20197658202,0.688318,1.19771,0.0871244,3.81385,25.6679,24.2432,"action_words","V4TIEUPC"
"Cantonese","item_255",1.667617668,8.1259032972,8.12889451662,0.717083,0.993956,0.085317,3.01707,18.2301,20.0776,"action_words","V4CRAWL"
"Cantonese","item_256",1.9196525512,8.0901089646,10.7351858423,0.711494,0.864026,0.0965451,3.4449,19.4953,23.2368,"action_words","V4ROLLC"
"Cantonese","item_257",2.0489188218,8.6873509752,11.32508709444,0.648484,0.93077,0.0366467,3.66471,22.4273,23.5468,"action_words","V4CLIMB"
"Cantonese","item_258",1.8383725512,8.4334792748,10.513971480258,0.65755,0.832516,0.00546712,3.41597,21.1877,23.4981,"action_words","V4LIEFL"
"Cantonese","item_259",1.4477936992,12.4431589852,6.77506748978,0.607678,1.27933,0.035975,2.73878,29.2565,20.0167,"action_words","V4SQUATC"
"Cantonese","item_26",1.4566384186,9.5665734828,5.79546518678,0.716782,0.968084,0.0241677,2.41655,21.235,14.2839,"people","P2SUKSUK"
"Cantonese","item_260",1.4565005856,16.320361438,4.94774670682,0.668169,2.73904,0.0165016,2.26308,38.5038,11.5591,"action_words","V4LAYC"
"Cantonese","item_261",1.5164335292,18.0242135876,6.196911264978,0.513276,0.879702,0.0020613,3.07996,52.1585,19.6073,"action_words","V4POURC"
"Cantonese","item_262",1.6670068432,12.136578588,7.1269304709,0.706972,1.07341,0.0172125,3.22574,28.4708,19.8063,"action_words","V4POUR"
"Cantonese","item_263",2.0239384778,5.3926974306,15.174335104,0.750322,0.790434,0.648794,3.84076,13.3236,30.6224,"action_words","V4DRIP"
