"language","item.id","delta_Mean","k_Mean","lambda_Mean","start_Mean","delta_HDIlow","k_HDIlow","lambda_HDIlow","start_HDIlow","delta_HDIhigh","k_HDIhigh","lambda_HDIhigh","start_HDIhigh","category","item"
"Cantonese","item_21",1.2118470218,3.1774876426,6.27068453434,12.429045950424,0.486378,0.177109,0.011182,4.78512,2.12162,8.68348,14.3019,15.9681,"people","P2YOUSIS"
"Cantonese","item_210",1.03437462756,0.82135978652,3772.6060179534,19.9970744352,0.0478818,0.0753232,0.222799,18.3854,2.72976,1.97397,9252.38,20.9957,"action_words","V4SELL"
"Cantonese","item_211",1.5639606742,8.7534623472,5.49412748366,8.172937007,0.653309,0.385035,0.029693,0.00741677,2.77081,24.5496,12.9864,14.8744,"action_words","V4COOKC"
"Cantonese","item_212",1.5814829064,6.12445122,6.141018437564,7.776338997926,0.604047,0.256083,0.00768354,0.00436541,2.81139,18.8263,13.5821,14.4882,"action_words","V4SMEAR"
"Cantonese","item_213",1.5443472652,5.3632337908,7.19427846446,7.261261869968,0.59196,0.284185,0.0140427,0.003052,2.82329,16.1823,15.779,13.9342,"action_words","V4PRESSC"
"Cantonese","item_214",1.6941259726,3.4757714792,10.81888674433,7.949764196628,0.547641,0.14487,0.0730465,0.195299,3.22607,10.3644,21.3431,15.1548,"action_words","V4PRICKC"
"Cantonese","item_215",1.8546181394,4.1989485374,11.95384646042,6.770411681934,0.521855,0.21596,0.0341794,0.00108704,3.50089,11.8346,23.1471,14.1252,"action_words","V4POINT"
"Cantonese","item_216",1.8657059226,3.2092197976,14.97731902858,6.376106157466,0.546591,0.222104,0.0398556,0.0294581,3.65153,9.42865,27.7886,13.4861,"action_words","V4POKE"
"Cantonese","item_217",1.6991987486,3.7859059978,14.24002346234,10.489931166066,0.515185,0.253825,0.0577405,1.12138,3.35884,10.6579,28.4892,17.7863,"action_words","V4INSER"
"Cantonese","item_218",1.3678916814,2.91089242816,8.51040561975,9.121401148728,0.487004,0.13575,0.00170101,1.04897,2.5162,8.42135,18.3871,15.5001,"action_words","V4PINCHC"
"Cantonese","item_219",1.6557845628,4.6346907482,10.73445075904,9.2265333956584,0.542258,0.227335,0.0358762,0.85384,3.18991,13.6819,22.1335,16.3962,"action_words","V4TWIST"
"Cantonese","item_22",1.7498834936,3.02933971684,9.00052640398,5.4329861806936,0.579097,0.091746,0.0185913,0.000542284,3.23565,9.69068,18.2507,12.4928,"people","P2ELDBRO"
"Cantonese","item_220",1.6791287772,5.1600891776,10.493404212706,7.0472807839,0.533295,0.358184,0.00871553,0.0106388,3.10701,13.4293,22.1979,13.7621,"action_words","V4WIND"
"Cantonese","item_221",1.734986169,4.3666985134,14.06514831104,11.66734982551,0.493812,0.176436,0.0155142,1.20522,3.46193,14.025,28.9174,19.4256,"action_words","V4GRASP"
"Cantonese","item_222",1.7276482776,6.6587342626,7.465850061868,7.155423126248,0.649872,0.24527,0.00207946,0.00683896,3.20986,20.2373,16.0187,14.1433,"action_words","V4STIR"
"Cantonese","item_223",1.6260889156,4.2182262434,10.79630009317,9.75394174643,0.521455,0.300728,0.00145266,0.886291,3.11268,12.2595,22.0848,16.4561,"action_words","V4SQUEEZ"
"Cantonese","item_224",1.5137622322,2.81350043264,11.23740857046,9.059393556724,0.513853,0.129888,0.0826037,0.903442,2.94194,7.78867,22.8216,15.6634,"action_words","V4TICKLE"
"Cantonese","item_225",1.4656319714,4.0232300084,8.51813174166,11.025444675536,0.52097,0.188009,0.0247904,1.74872,2.73811,12.4026,18.2158,16.6902,"action_words","V4ITCH"
"Cantonese","item_226",2.0072412692,5.0788731034,14.5598382109,6.7995592101578,0.600192,0.413362,0.115911,0.0150472,4.02097,14.3529,28.4926,14.3828,"action_words","V4SCRATC"
"Cantonese","item_227",1.7869267514,5.3995562302,8.14750182966,6.815886750828,0.685955,0.242094,0.0655663,0.00301356,3.23724,15.0789,16.8545,13.9074,"action_words","V4TOUCH"
"Cantonese","item_228",1.5409704674,2.59045559208,41.543023281056,15.0543425468,0.353882,0.119415,0.00484218,3.20898,3.26227,8.53598,139.311,19.9835,"action_words","V4STROKE"
"Cantonese","item_229",2.192651392,5.0727127504,11.6084038622,5.618501871898,0.725029,0.335902,0.43781,0.017304,4.10973,14.0181,22.1444,12.4165,"action_words","V4TOUCH2"
"Cantonese","item_23",1.3875066548,3.871527442,9.02163569354,9.3368427216726,0.498105,0.16372,0.00664347,1.34225,2.64803,11.0876,20.1878,15.7031,"people","P2YOUBRO"
"Cantonese","item_230",2.3842472372,2.9207522192,12.1254323238,4.95531428286,0.825491,0.157786,0.891546,0.00316601,4.39457,8.86829,21.5111,11.6314,"action_words","V4DROPC"
"Cantonese","item_231",1.9712163278,4.878885351,11.7515515133,7.492484467633,0.588478,0.291964,0.136156,0.000132615,3.80958,14.8769,22.5654,15.3683,"action_words","V4THROWC"
"Cantonese","item_232",1.83156137,4.1849962104,10.3889028919,6.4863132263508,0.641918,0.247932,0.0642745,0.000388444,3.38521,11.6594,20.2273,13.3832,"action_words","V4THROW2"
"Cantonese","item_233",1.7196782748,5.0655895084,10.39329327592,7.428473683414,0.530941,0.380868,0.0231811,0.00500152,3.14311,13.7109,21.4584,14.2786,"action_words","V4PLUCKC"
"Cantonese","item_234",1.6612197812,5.9418671656,8.36961463494,7.144592896486,0.612804,0.306979,0.0116184,0.00718558,3.03036,16.4219,18.097,13.7002,"action_words","V4TEARC"
"Cantonese","item_235",1.2970442868,2.0367249558,13.160277955936,14.56128433054,0.388273,0.138524,0.0602466,8.04083,2.66082,5.95687,27.8895,16.9343,"action_words","V4PEEL"
"Cantonese","item_236",1.5580801452,5.2302291388,6.810235788,8.550731384482,0.637193,0.200267,0.0160637,0.687513,2.81401,15.4088,14.5679,15.3909,"action_words","V4UNDRES"
"Cantonese","item_237",1.523683056,7.6925891036,5.25147346192,7.941158532814,0.623862,0.312735,0.0145041,0.184968,2.62945,22.6557,12.0874,14.6876,"action_words","V4WEARC"
"Cantonese","item_238",1.7464376848,5.3524676952,8.36768662162,6.955597508306,0.619555,0.285849,0.0347031,0.00568428,3.12248,14.6257,17.4477,13.9583,"action_words","V4WEAR2"
"Cantonese","item_239",1.5487805122,4.7128599862,6.39756663406,8.67094398333,0.566541,0.153144,0.0436989,0.943138,2.7833,14.4391,13.8283,15.9356,"action_words","V4KNOW"
"Cantonese","item_24",1.257015507,2.899929522,6.294666662106,8.581692965616,0.477428,0.0680203,0.00717715,0.751126,2.23984,8.61506,14.6607,15.1985,"people","P2JIJI"
"Cantonese","item_240",1.843224332,4.3516008852,10.9035373927,7.2734954373474,0.622669,0.324314,0.0881757,0.000525914,3.43928,12.0186,21.0135,14.3851,"action_words","V4UNDSTD"
"Cantonese","item_241",1.776257974,4.8437278724,8.58262032772,6.0324418023364,0.64692,0.305787,0.0117656,0.00747476,3.13932,13.0844,17.2644,12.7859,"action_words","V4KNOWHW"
"Cantonese","item_242",1.7162013882,7.1135531332,7.30551532304,7.1100124137766,0.639762,0.201826,0.0495263,0.0165157,3.03907,19.743,15.7681,14.2766,"action_words","V4REMEM"
"Cantonese","item_243",1.7169187408,5.358915699,8.53376183628,6.7750951055564,0.610175,0.305662,0.11248,0.000722899,3.13977,15.0736,17.9251,13.6797,"action_words","V4CAN"
"Cantonese","item_244",1.7967437118,5.686762896,10.52868461966,9.80860141025,0.578125,0.243718,0.0733292,0.692105,3.48267,16.3136,21.6753,18.0349,"action_words","V4THINKC"
"Cantonese","item_245",2.2020381174,5.8577328094,15.2719484088,5.539699941316,0.598419,0.402318,0.359571,0.00368491,4.39294,16.2431,29.6955,12.6521,"action_words","V4DREAMC"
"Cantonese","item_246",1.8232631618,4.804939985,14.371458617484,9.16070817518,0.480109,0.256635,0.00208953,0.750912,3.60094,13.61,28.6471,17.3876,"action_words","V4GUESS"
"Cantonese","item_247",1.856094195,6.6719562862,9.2646222078,7.8969713278676,0.637154,0.456476,0.0682528,0.0388293,3.54903,18.3869,19.58,15.6695,"action_words","V4TRY2"
"Cantonese","item_248",1.8215699458,6.0388872182,9.97526736254,8.483001064,0.573041,0.37803,0.0923593,0.0518864,3.49506,17.0413,20.9219,16.1601,"action_words","V4PRETEC"
"Cantonese","item_249",1.326937171,3.2318142884,8.04603193716,14.83085120458,0.497229,0.19705,0.0215673,7.51331,2.54066,9.65312,17.8185,17.928,"action_words","V4FOLD"
"Cantonese","item_25",1.492163557,2.02251965428,10.689858795204,7.48877569678,0.495976,0.0511989,0.0314279,0.100915,2.87805,6.26879,21.6677,14.8225,"people","P2BAAK"
"Cantonese","item_250",1.8359058478,4.8463713286,9.1860880113,6.731314150657,0.665488,0.274661,0.161707,0.0249513,3.29895,14.1111,18.3421,13.783,"action_words","V4STICKC"
"Cantonese","item_251",1.967594692,5.4294102964,9.92687035992,5.8662897961602,0.620207,0.259729,0.0556803,0.00404161,3.57082,15.4748,19.5826,12.8094,"action_words","V4PILEUP"
"Cantonese","item_252",2.017729996,4.1176141182,11.248955190806,6.0103627744608,0.627235,0.225154,0.00661387,0.000873429,3.81553,12.4632,21.141,13.277,"action_words","V4CHOP"
"Cantonese","item_253",1.8195150764,5.5360794094,8.00514101934,8.09141986794,0.667489,0.178579,0.011292,0.0101698,3.48156,17.3122,16.2079,15.3276,"action_words","V4CUT"
"Cantonese","item_254",1.9736593356,6.3870912764,10.569368206968,5.917335854582,0.65663,0.41963,0.00750556,0.00227639,3.83826,17.989,21.5725,13.0858,"action_words","V4TIEUPC"
"Cantonese","item_255",1.4549536074,4.8497391002,7.261956041038,8.70026555339,0.525991,0.176228,0.0028619,0.773379,2.70947,15.0638,16.3866,15.2818,"action_words","V4CRAWL"
"Cantonese","item_256",1.7581022692,5.2049157166,9.96700243306,7.4117207328122,0.604078,0.267491,0.0634317,0.0316614,3.26056,14.4745,20.2969,14.4971,"action_words","V4ROLLC"
"Cantonese","item_257",1.7622675634,5.9219026526,9.327057479038,7.4979230123612,0.668682,0.302004,0.0047815,0.000935306,3.41956,15.5134,19.7716,14.7427,"action_words","V4CLIMB"
"Cantonese","item_258",1.7726428956,5.087611056,10.56246279656,7.049152300654,0.602977,0.358102,0.0377858,0.0116771,3.19823,14.2361,21.0031,14.2903,"action_words","V4LIEFL"
"Cantonese","item_259",1.5506660878,3.904304324,10.10520723558,10.9831794290944,0.499824,0.178917,0.132237,1.63907,2.95695,11.6267,20.9706,16.8513,"action_words","V4SQUATC"
"Cantonese","item_26",1.293912169,4.4395479522,5.576115528046,9.45058481898,0.554987,0.181184,0.00388072,1.40677,2.2589,13.3234,12.8574,15.5684,"people","P2SUKSUK"
"Cantonese","item_260",1.5288218008,6.3387647564,6.340636401786,10.02628319356,0.539395,0.172223,0.00268353,1.55213,2.75741,19.3405,14.2896,16.4368,"action_words","V4LAYC"
"Cantonese","item_261",1.634546592,6.744897467,7.63811334112,7.177676335768,0.614236,0.4966,0.0534906,0.00691462,2.96202,18.7696,16.9827,13.8027,"action_words","V4POURC"
"Cantonese","item_262",1.7494289876,6.3320948106,8.3728593217,6.6122642487838,0.617954,0.291012,0.0488399,0.0174126,3.12711,17.5312,17.5677,13.4129,"action_words","V4POUR"
"Cantonese","item_263",1.8314087468,3.8734943646,14.34354207372,7.086484741264,0.518805,0.282935,0.0255152,0.00311412,3.70447,10.7425,28.2884,14.1383,"action_words","V4DRIP"
"Cantonese","item_264",1.9949037408,5.3690880074,12.73106701918,6.079822258148,0.628373,0.404739,0.19593,0.00763216,3.94972,15.3248,25.2151,13.3559,"action_words","V4PUSH2"
"Cantonese","item_265",2.1288157562,5.193004269,10.95031283216,5.329897974068,0.701581,0.366442,0.0248251,0.00316641,3.89716,14.9943,20.3782,12.0225,"action_words","V4PULL"
"Cantonese","item_266",1.530160492,5.9742408608,7.327689536672,8.84787500687,0.546421,0.245248,0.00382943,0.701623,2.72291,18.1186,16.0423,15.9475,"action_words","V4PUSHC"
"Cantonese","item_267",1.9425072236,7.0896800442,8.82398610096,6.757732017848,0.597125,0.229147,0.0165435,0.00495543,3.7263,21.0833,18.358,14.2918,"action_words","V4CRASH"
"Cantonese","item_268",1.5177294494,4.5485868302,7.53519164538,9.4611125871886,0.551342,0.189145,0.0280708,1.22024,2.71467,13.2962,16.2577,15.8717,"action_words","V4STEP"
"Cantonese","item_269",1.5445659312,4.8476220076,7.82612882304,9.8652764239762,0.60033,0.208525,0.014986,1.11619,2.84604,14.6814,16.7854,16.375,"action_words","V4RIDE"
"Cantonese","item_27",1.5624488134,3.4301709086,12.273025372254,8.5956292014862,0.510882,0.135397,0.0830464,0.781719,3.05327,9.89724,25.5283,15.5655,"people","P2SAMSAM"
"Cantonese","item_270",2.2540292608,5.7563151288,10.249915986,5.625487042288,0.812711,0.2988,0.344684,0.00122455,4.04171,15.9005,19.1036,12.5692,"action_words","V4FOLLOC"
"Cantonese","item_271",1.5522244074,1.8242548218,10.41936738779,18.0387957304,0.403769,0.121613,0.00238534,14.5074,3.21897,5.89172,19.5784,19.8696,"action_words","V4LINE"
"Cantonese","item_272",1.5488421228,4.5281625838,6.77575330006,12.0883963864,0.550276,0.143504,0.0260154,3.01997,2.89648,14.0504,14.391,16.9281,"action_words","V4WAIT"
"Cantonese","item_273",1.769854577,7.6847138182,7.5398837852,6.866797628216,0.69657,0.466182,0.0715031,0.0343514,3.1835,21.207,16.317,13.9208,"action_words","V4BRING"
"Cantonese","item_274",1.825355592,7.1591383416,8.80412209072,8.368336865586,0.609299,0.385719,0.0662298,0.0121624,3.39282,20.0698,18.5935,16.1198,"action_words","V4SEND"
"Cantonese","item_275",1.5895762072,5.8686627154,8.083037423236,9.83453757111,0.520547,0.305398,0.00449939,1.25789,2.98942,17.1428,17.8631,16.5832,"action_words","V4MEET"
"Cantonese","item_276",2.0231181276,6.3349569236,11.98198927286,7.3941322486174,0.669594,0.524612,0.224944,0.000365247,3.89752,17.084,24.1366,15.3041,"action_words","V4HURRY"
"Cantonese","item_277",1.7361725372,7.3024994322,7.09918588774,8.932151504384,0.614922,0.315429,0.0632368,0.616315,3.05112,21.0786,15.1757,16.5788,"action_words","V4HELP"
"Cantonese","item_278",1.7144321678,4.2645669858,12.28989833616,8.338885742014,0.529106,0.197742,0.0374784,0.356559,3.3923,11.761,25.0308,15.4569,"action_words","V4BULLY"
"Cantonese","item_279",1.7380295896,5.3858995826,9.48231841316,8.5680057551,0.581283,0.179743,0.0382547,0.139981,3.24105,15.5116,19.4343,15.5254,"action_words","V4GRAB"
"Cantonese","item_28",1.239378515,2.2642530112,12.286053638412,11.93730662908,0.41049,0.108032,0.00689268,3.08064,2.44485,6.67131,26.842,15.9395,"people","P2GUMAA"
"Cantonese","item_280",2.044671926,5.7297460628,12.33103033156,5.53823028355,0.63868,0.44337,0.0558872,0.00139977,3.93076,15.8755,24.1888,12.1175,"action_words","V4BORROW"
"Cantonese","item_281",1.3508902326,2.3932006074,10.808024120762,15.760722046262,0.463974,0.144501,0.00269289,9.97927,2.69976,6.45546,22.5836,17.9825,"action_words","V4CHNGE"
"Cantonese","item_282",1.3604690434,7.4234970166,4.875871679654,8.87954146814,0.587275,0.496099,0.00959325,0.778556,2.37079,21.1243,11.9661,15.197,"action_words","V4COVERC"
"Cantonese","item_283",1.7287062532,6.19958494,7.33331436764,8.7760933910292,0.539673,0.207047,0.0227615,0.522299,3.18635,18.7846,15.5005,16.0888,"action_words","V4COVER2"
"Cantonese","item_284",1.9203138878,6.552749405,9.79259803334,6.421178855366,0.637044,0.332249,0.0751193,0.00537493,3.55909,17.9978,20.3457,13.6555,"action_words","V4FLIPC"
"Cantonese","item_285",1.6003408276,7.6016942044,6.27766497162,8.861489440352,0.617425,0.260456,0.0197177,0.569904,2.86416,22.7009,14.2065,15.9349,"action_words","V4DAMAGC"
"Cantonese","item_286",1.6546824936,4.4231268976,19.788695074056,12.401524565844,0.406183,0.237812,0.00227868,1.55545,3.33568,13.6433,46.274,19.9065,"action_words","V4FIX"
"Cantonese","item_287",1.7035585904,5.33157055,7.861247068732,10.97712721748,0.585867,0.217367,0.00418954,1.41164,3.22204,15.1896,16.0681,17.7152,"action_words","V4FIX2"
"Cantonese","item_288",1.5317217258,6.3697568668,6.3516150031,11.301053760492,0.570995,0.194009,0.0209102,1.83184,2.78898,19.6861,14.25,17.6795,"action_words","V4DOC"
"Cantonese","item_289",1.4904445672,10.4322699124,5.394907592598,8.7230389550984,0.53453,0.446751,0.00479359,0.349165,2.6991,31.4438,13.4626,15.504,"action_words","V4FINISH"
"Cantonese","item_29",1.5431886422,4.516233281,9.877029590742,7.451309677772,0.530171,0.23942,0.00627408,0.0279231,2.94734,13.3481,21.4874,14.1251,"people","P2GUZE"
"Cantonese","item_290",1.2514520328,3.73777322274,4.357415414952,8.4381997,0.476394,0.0542287,0.00397084,0.803383,2.15328,12.6441,10.46,15.6692,"games_routines","G5BYE"
"Cantonese","item_291",0.880822674028,1.9218581932,4640.206792008,9.133174172222,0.00234312,0.210118,0.8623,0.048287,2.47092,4.30694,9449.96,17.4569,"games_routines","G5HELLO"
"Cantonese","item_292",1.2501041194,2.98284284508,5.894057878312,10.3548869862,0.494017,0.105107,0.00566576,1.83618,2.21776,9.36177,13.5131,15.7586,"games_routines","G5THANKC"
"Cantonese","item_293",1.6061760418,5.4164946186,6.55920583296,7.762360248376,0.665367,0.176976,0.0322253,0.0205563,2.88367,16.1185,14.0098,14.8336,"games_routines","G5PLEASC"
"Cantonese","item_294",1.6860529184,5.3046220694,7.71348952886,9.617938881936,0.605021,0.198421,0.0261612,0.891619,3.12248,15.7004,15.971,16.4728,"games_routines","G5SORRY"
"Cantonese","item_295",1.5194934332,3.7300332926,7.90550114302,7.046678958328,0.534401,0.13424,0.00426196,0.0590177,2.72352,11.3954,16.7664,13.9218,"games_routines","G5YES"
"Cantonese","item_296",1.7302061848,5.5031006348,8.469555580656,7.563551580762,0.633591,0.231658,0.00508578,0.00121744,3.17039,15.7458,17.42,14.5701,"games_routines","G5CORREC"
"Cantonese","item_297",1.2321977084,5.0596885906,4.195236083886,9.963141233164,0.520572,0.233723,0.00641311,1.75474,2.08381,14.983,10.1758,15.5482,"games_routines","G5WANT"
"Cantonese","item_298",1.4356686902,5.197329047,5.75312577368,8.51929909421,0.633294,0.171186,0.0173414,0.850519,2.50206,14.5347,13.037,15.1076,"games_routines","G5NOTWAC"
"Cantonese","item_299",1.647014328,5.9633927654,7.073457501,6.103150200996,0.587786,0.295107,0.0317594,0.00104301,2.89982,16.9308,15.5327,12.743,"games_routines","G5DONTDO"
"Cantonese","item_3",1.4017422416,1.53402011432,12.5570376361714,7.03090776323518,0.396376,0.0412246,0.000218092,1.15289e-05,2.78264,4.78942,25.969,14.0726,"sounds","S1AIYOU"
"Cantonese","item_30",1.1269301242,1.48484551196,14.867862267638,15.8593600242,0.356807,0.170664,0.00994679,14.26,2.31917,3.70425,32.207,16.9595,"people","P2GUZOEN"
"Cantonese","item_300",1.8073541556,5.4119633596,9.04201781968,5.5220942160236,0.665627,0.301346,0.137993,0.00919068,3.33545,14.3572,18.942,12.0725,"games_routines","G5NOTOKC"
"Cantonese","item_301",1.2669981554,1.24367088596,17.24628673862,12.686223382136,0.300666,0.0712765,0.0251769,3.07782,2.75917,4.0962,37.5595,15.9936,"games_routines","G5SHH"
"Cantonese","item_302",1.6977176726,4.5750733178,7.634939423848,6.601379778532,0.61161,0.138425,0.00430871,0.00487362,3.02103,14.112,15.7068,13.8281,"games_routines","G5POOPC"
"Cantonese","item_303",1.5266502566,5.1104420886,6.340906312038,8.1353596699218,0.586767,0.187491,0.00360907,0.403734,2.72569,15.846,13.9263,15.1424,"games_routines","G5PEEC"
"Cantonese","item_304",1.3373377138,1.89588761604,14.44817483382,14.83151265318,0.4472,0.190437,0.117637,8.64171,2.7987,5.25966,29.5079,16.9856,"games_routines","G5WIPEPO"
"Cantonese","item_305",2.2907222744,2.88059281458,11.13398495862,5.5259879986264,0.702683,0.0966074,0.168613,0.000883962,4.36189,9.49223,19.9626,12.7903,"games_routines","G5WASHC"
"Cantonese","item_306",1.4674187466,4.697793979,6.267049929662,7.680047176672,0.560263,0.154232,0.00892281,0.00205603,2.59479,14.0437,14.0482,14.3303,"games_routines","G5SLEEPC"
"Cantonese","item_307",1.5785101196,6.2899660632,6.087857870666,8.70573899716,0.579465,0.152745,0.00341136,0.817878,2.82915,18.6989,13.3723,16.3269,"games_routines","G5BRUSHT"
"Cantonese","item_308",1.3657906432,7.3939723546,4.12576809534,9.689292687416,0.543431,0.366709,0.0221947,1.63575,2.30552,20.4796,10.1721,15.7885,"games_routines","G5WASHHA"
"Cantonese","item_309",1.5494998968,6.0185514536,5.824986527606,10.09922233032,0.565204,0.15694,0.0062634,1.34346,2.87721,20.2798,12.8345,16.6088,"games_routines","G5EATC"
"Cantonese","item_31",1.4639626908,2.63732076724,10.15920298656,9.4482631053356,0.511435,0.105506,0.0512506,1.0889,2.83511,8.09799,21.1685,15.8205,"people","P2KAUFU"
"Cantonese","item_310",1.2543676326,4.8910710606,5.550500976578,11.010655602714,0.507945,0.290971,0.0130808,2.51885,2.17756,14.9122,13.281,15.8739,"games_routines","G5MORNIN"
"Cantonese","item_311",1.6111734874,5.7909899212,8.15447377646,8.541540320228,0.550984,0.311297,0.0284546,0.444641,2.95125,15.679,17.8223,15.6241,"games_routines","G5NIGHT"
"Cantonese","item_312",1.645872772,8.2409098038,6.01929475512,8.149583559846,0.626889,0.288285,0.0350838,0.0843705,2.87756,24.5908,13.3898,15.1473,"games_routines","G5GOSCHC"
"Cantonese","item_313",1.9396783934,2.5940459642,9.76186718146,5.5639201950482,0.639639,0.0757477,0.293625,0.00694011,3.627,8.12686,19.0042,12.7341,"games_routines","G5OUT"
"Cantonese","item_314",1.3378751138,3.9118944452,5.43520475746,13.31470279346,0.527963,0.142866,0.0110654,5.60323,2.44113,11.8912,12.2826,16.7918,"games_routines","G5BUYC"
"Cantonese","item_315",1.9288832852,3.6706306818,9.9707948764,6.172414075646,0.734528,0.147181,0.511935,0.00114344,3.51096,10.7294,19.2142,13.4865,"games_routines","G5GREATC"
"Cantonese","item_316",1.8218664568,5.8773720852,9.238711234,6.762020215714,0.672548,0.283557,0.195512,0.00445887,3.27324,16.3569,18.9259,13.6459,"games_routines","G5OK"
"Cantonese","item_317",1.6255796734,8.0241828738,5.719323271158,7.14801466683222,0.619807,0.298091,0.00920015,5.13711e-05,2.81812,22.7014,12.8858,13.7567,"games_routines","G5FASTC"
"Cantonese","item_318",1.6854944664,6.758382789,7.287704688756,9.2713209977118,0.556854,0.257699,0.0105194,0.648617,3.08294,19.6876,15.6851,16.7283,"games_routines","G5WAITC"
"Cantonese","item_319",1.823845771,6.3686772882,7.57237819194,6.57708892464668,0.714602,0.32636,0.0920255,0.00154712,3.20811,17.706,15.6768,13.689,"games_routines","G5PHONE"
"Cantonese","item_32",1.5827050932,3.4449435798,11.929912898554,8.271021661086,0.480527,0.203109,0.00462218,0.74807,3.10237,10.0569,24.3556,15.1568,"people","P2KAUMOU"
"Cantonese","item_320",1.5579496446,3.664332657,8.46254200798,13.802477597,0.505048,0.164214,0.0504936,4.10178,3.04899,12.283,17.3148,17.9575,"games_routines","G5LISTE"
"Cantonese","item_321",1.7756145176,6.7247585676,8.911030819768,6.76462771189,0.577577,0.495759,0.00190455,0.00290681,3.19311,18.6436,18.8342,13.8973,"games_routines","G5HELP"
"Cantonese","item_322",2.6085754676,5.334491137,11.565882388,4.6578362189194,0.966728,0.499645,1.48152,0.000716787,4.44368,15.305,20.5942,11.1866,"games_routines","G5ONEYR"
"Cantonese","item_323",1.366242753,0.93723187622,74.25075850998,9.97605228614,0.277597,0.0468144,0.0440806,1.34766,2.99779,2.69318,220.442,15.982,"games_routines","G5BOO"
"Cantonese","item_324",1.2253524704,3.11805850566,7.566947614268,10.76840000292,0.417165,0.209674,0.00675862,2.34385,2.21113,9.27181,17.4233,15.7251,"games_routines","G5FLYBUG"
"Cantonese","item_325",1.9009655446,4.374564525,12.558400518328,6.478431126086,0.531125,0.205435,0.00142496,0.00297053,3.80133,12.6987,24.488,13.8583,"games_routines","G5RSP"
"Cantonese","item_326",1.8253551112,6.0793692804,11.3019275403,7.417395374428,0.591342,0.566405,0.0565518,0.0026721,3.50562,16.4456,23.6051,14.7517,"games_routines","G5TAG"
"Cantonese","item_327",1.4350548384,1.4866114783,135.05354809198,17.3977422021044,0.277142,0.0720406,0.0207169,8.73554,3.15337,4.63616,393.276,19.9941,"games_routines","G5HIDEC"
"Cantonese","item_328",1.467471004,2.9385030606,6.1245661792,7.24439958900832,0.510988,0.0389118,0.029482,0.0889357,2.66414,9.61815,13.7755,14.5939,"toys","T6BALLC"
"Cantonese","item_329",1.7834808476,5.0514262008,8.52528266972,7.046031906864,0.650126,0.195123,0.0663289,0.00381964,3.21818,15.3741,16.9999,14.166,"toys","T6DOLLC"
"Cantonese","item_33",1.4097706836,2.2997861482,12.99362053986,10.217395801318,0.453527,0.110475,0.0259359,1.42086,2.85198,6.44609,27.0561,15.8021,"people","P2JIMAA"
"Cantonese","item_330",1.7126078312,4.9659558448,7.36683518073,6.849533513654,0.587574,0.108877,0.00493995,0.00602012,3.09837,15.1186,15.2228,14.1637,"toys","T6BOOK"
